age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,date
59,admin,married,secondary,no,2343,yes,no,,5,5,1042,1,-1,0,,yes,2014-05-05 00:00:00
56,admin,married,secondary,no,45,no,no,,5,5,1467,1,-1,0,,yes,2014-05-05 00:00:00
41,technician,married,secondary,no,1270,yes,no,,5,5,1389,1,-1,0,,yes,2014-05-05 00:00:00
55,services,married,secondary,no,2476,yes,no,,5,5,579,1,-1,0,,yes,2014-05-05 00:00:00
54,admin,married,tertiary,no,184,no,no,,5,5,673,2,-1,0,,yes,2014-05-05 00:00:00
42,management,single,tertiary,no,0,yes,yes,,5,5,562,2,-1,0,,yes,2014-05-05 00:00:00
56,management,married,tertiary,no,830,yes,yes,,6,5,1201,1,-1,0,,yes,2014-05-06 00:00:00
60,retired,divorced,secondary,no,545,yes,no,,6,5,1030,1,-1,0,,yes,2014-05-06 00:00:00
37,technician,married,secondary,no,1,yes,no,,6,5,608,1,-1,0,,yes,2014-05-06 00:00:00
28,services,single,secondary,no,5090,yes,no,,6,5,1297,3,-1,0,,yes,2014-05-06 00:00:00
38,admin,single,secondary,no,100,yes,no,,7,5,786,1,-1,0,,yes,2014-05-07 00:00:00
30,blue-collar,married,secondary,no,309,yes,no,,7,5,1574,2,-1,0,,yes,2014-05-07 00:00:00
29,management,married,tertiary,no,199,yes,yes,,7,5,1689,4,-1,0,,yes,2014-05-07 00:00:00
46,blue-collar,single,tertiary,no,460,yes,no,,7,5,1102,2,-1,0,,yes,2014-05-07 00:00:00
31,technician,single,tertiary,no,703,yes,no,,8,5,943,2,-1,0,,yes,2014-05-08 00:00:00
35,management,divorced,tertiary,no,3837,yes,no,,8,5,1084,1,-1,0,,yes,2014-05-08 00:00:00
32,blue-collar,single,primary,no,611,yes,no,,8,5,541,3,-1,0,,yes,2014-05-08 00:00:00
49,services,married,secondary,no,-8,yes,no,,8,5,1119,1,-1,0,,yes,2014-05-08 00:00:00
41,admin,married,secondary,no,55,yes,no,,8,5,1120,2,-1,0,,yes,2014-05-08 00:00:00
49,admin,divorced,secondary,no,168,yes,yes,,8,5,513,1,-1,0,,yes,2014-05-08 00:00:00
28,admin,divorced,secondary,no,785,yes,no,,8,5,442,2,-1,0,,yes,2014-05-08 00:00:00
43,management,single,tertiary,no,2067,yes,no,,8,5,756,1,-1,0,,yes,2014-05-08 00:00:00
43,management,divorced,tertiary,no,388,yes,no,,8,5,2087,2,-1,0,,yes,2014-05-08 00:00:00
43,blue-collar,married,primary,no,-192,yes,no,,8,5,1120,2,-1,0,,yes,2014-05-08 00:00:00
37,unemployed,single,secondary,no,381,yes,no,,8,5,985,2,-1,0,,yes,2014-05-08 00:00:00
35,blue-collar,single,secondary,no,40,yes,no,,9,5,617,4,-1,0,,yes,2014-05-09 00:00:00
31,technician,single,tertiary,no,22,yes,no,,9,5,483,3,-1,0,,yes,2014-05-09 00:00:00
43,blue-collar,single,secondary,no,3,yes,no,,9,5,929,3,-1,0,,yes,2014-05-09 00:00:00
31,admin,married,secondary,no,307,yes,no,,9,5,538,1,-1,0,,yes,2014-05-09 00:00:00
28,blue-collar,single,secondary,no,759,yes,no,,9,5,710,1,-1,0,,yes,2014-05-09 00:00:00
32,blue-collar,married,secondary,yes,-1,yes,no,,9,5,653,1,-1,0,,yes,2014-05-09 00:00:00
60,technician,married,primary,no,65,yes,no,,9,5,1028,2,-1,0,,yes,2014-05-09 00:00:00
26,blue-collar,single,secondary,no,82,yes,no,,9,5,654,1,-1,0,,yes,2014-05-09 00:00:00
40,blue-collar,married,secondary,no,10,yes,no,,9,5,1692,2,-1,0,,yes,2014-05-09 00:00:00
33,blue-collar,divorced,primary,no,390,yes,no,,9,5,665,2,-1,0,,yes,2014-05-09 00:00:00
32,management,single,tertiary,no,311,no,no,,12,5,757,2,-1,0,,yes,2014-05-12 00:00:00
35,blue-collar,married,primary,no,414,no,no,,13,5,504,4,-1,0,,yes,2014-05-13 00:00:00
33,management,divorced,secondary,no,5,yes,no,,13,5,1346,1,-1,0,,yes,2014-05-13 00:00:00
38,management,married,tertiary,no,119,yes,no,,13,5,568,4,-1,0,,yes,2014-05-13 00:00:00
23,entrepreneur,single,primary,no,4,yes,no,,13,5,395,2,-1,0,,yes,2014-05-13 00:00:00
60,blue-collar,married,primary,no,1262,yes,yes,,13,5,1015,1,-1,0,,yes,2014-05-13 00:00:00
48,management,married,tertiary,no,1949,yes,no,,13,5,683,2,-1,0,,yes,2014-05-13 00:00:00
45,entrepreneur,divorced,tertiary,no,-395,yes,no,,13,5,470,1,-1,0,,yes,2014-05-13 00:00:00
36,blue-collar,married,secondary,no,1165,yes,no,,13,5,1001,4,-1,0,,yes,2014-05-13 00:00:00
52,management,married,,no,2240,yes,no,,13,5,845,1,-1,0,,yes,2014-05-13 00:00:00
35,blue-collar,divorced,primary,no,300,yes,no,,13,5,945,2,-1,0,,yes,2014-05-13 00:00:00
43,technician,married,secondary,no,3285,yes,no,,13,5,1721,2,-1,0,,yes,2014-05-13 00:00:00
52,housemaid,married,secondary,no,3923,yes,no,,14,5,942,3,-1,0,,yes,2014-05-14 00:00:00
53,technician,divorced,primary,no,1443,yes,no,,14,5,476,1,-1,0,,yes,2014-05-14 00:00:00
48,blue-collar,divorced,primary,no,24,yes,no,,14,5,832,1,-1,0,,yes,2014-05-14 00:00:00
41,blue-collar,single,primary,no,1618,yes,no,,14,5,1553,1,-1,0,,yes,2014-05-14 00:00:00
39,management,divorced,tertiary,no,517,yes,yes,,14,5,1328,1,-1,0,,yes,2014-05-14 00:00:00
59,retired,married,secondary,no,1521,yes,yes,,14,5,1125,2,-1,0,,yes,2014-05-14 00:00:00
41,blue-collar,married,secondary,no,2823,yes,no,,14,5,858,1,-1,0,,yes,2014-05-14 00:00:00
48,blue-collar,married,secondary,no,1405,yes,no,,14,5,629,2,-1,0,,yes,2014-05-14 00:00:00
40,admin,married,secondary,no,1535,yes,no,,14,5,704,1,-1,0,,yes,2014-05-14 00:00:00
48,blue-collar,married,secondary,no,1596,yes,no,,14,5,760,1,-1,0,,yes,2014-05-14 00:00:00
60,retired,married,primary,no,1542,yes,no,,14,5,930,1,-1,0,,yes,2014-05-14 00:00:00
40,technician,single,,no,3652,yes,no,,14,5,1028,2,-1,0,,yes,2014-05-14 00:00:00
57,technician,married,tertiary,no,-1,no,no,,14,5,850,2,-1,0,,yes,2014-05-14 00:00:00
51,blue-collar,married,secondary,no,7180,yes,no,,14,5,927,1,-1,0,,yes,2014-05-14 00:00:00
41,blue-collar,divorced,secondary,no,5291,yes,no,,14,5,1423,3,-1,0,,yes,2014-05-14 00:00:00
41,blue-collar,married,secondary,no,1384,yes,no,,15,5,1162,4,-1,0,,yes,2014-05-15 00:00:00
52,blue-collar,divorced,primary,no,-191,yes,no,,15,5,755,1,-1,0,,yes,2014-05-15 00:00:00
59,blue-collar,married,primary,no,320,yes,no,,15,5,695,1,-1,0,,yes,2014-05-15 00:00:00
44,blue-collar,married,,no,146,yes,no,,15,5,483,1,-1,0,,yes,2014-05-15 00:00:00
49,,married,primary,no,341,yes,yes,,15,5,520,2,-1,0,,yes,2014-05-15 00:00:00
40,services,married,primary,no,-9,yes,no,,15,5,920,2,-1,0,,yes,2014-05-15 00:00:00
41,admin,married,primary,no,-306,yes,no,,15,5,500,1,-1,0,,yes,2014-05-15 00:00:00
44,technician,married,tertiary,no,4580,yes,no,,15,5,911,2,-1,0,,yes,2014-05-15 00:00:00
60,services,single,primary,no,313,yes,no,,15,5,920,2,-1,0,,yes,2014-05-15 00:00:00
29,management,married,tertiary,no,10576,no,no,,15,5,1224,2,-1,0,,yes,2014-05-15 00:00:00
41,retired,divorced,primary,no,-233,yes,no,,15,5,1156,2,-1,0,,yes,2014-05-15 00:00:00
41,blue-collar,married,primary,no,2453,yes,no,,15,5,1052,1,-1,0,,yes,2014-05-15 00:00:00
42,technician,single,secondary,no,1364,yes,no,,15,5,1867,6,-1,0,,yes,2014-05-15 00:00:00
36,services,single,,no,281,yes,no,,16,5,515,1,-1,0,,yes,2014-05-16 00:00:00
39,technician,married,tertiary,no,94,yes,yes,,16,5,813,1,-1,0,,yes,2014-05-16 00:00:00
31,self-employed,single,tertiary,no,144,yes,no,,16,5,676,1,-1,0,,yes,2014-05-16 00:00:00
26,blue-collar,married,secondary,no,246,yes,no,,16,5,1143,3,-1,0,,yes,2014-05-16 00:00:00
31,blue-collar,married,secondary,no,92,yes,no,,16,5,688,1,-1,0,,yes,2014-05-16 00:00:00
29,admin,single,secondary,no,163,yes,yes,,16,5,803,1,-1,0,,yes,2014-05-16 00:00:00
37,services,divorced,secondary,no,49,yes,no,,16,5,619,2,-1,0,,yes,2014-05-16 00:00:00
33,blue-collar,single,secondary,no,-416,yes,no,,16,5,767,2,-1,0,,yes,2014-05-16 00:00:00
24,technician,single,secondary,no,409,yes,no,,16,5,912,1,-1,0,,yes,2014-05-16 00:00:00
50,admin,divorced,secondary,no,363,yes,no,,16,5,1340,1,-1,0,,yes,2014-05-16 00:00:00
27,technician,single,tertiary,no,3706,yes,no,,16,5,897,1,-1,0,,yes,2014-05-16 00:00:00
54,management,single,tertiary,no,4393,yes,no,,16,5,1297,3,-1,0,,yes,2014-05-16 00:00:00
30,technician,single,secondary,no,863,yes,no,,16,5,1193,5,-1,0,,yes,2014-05-16 00:00:00
34,blue-collar,married,primary,no,695,yes,yes,,16,5,1064,4,-1,0,,yes,2014-05-16 00:00:00
37,management,single,secondary,no,792,yes,no,,16,5,1187,4,-1,0,,yes,2014-05-16 00:00:00
41,admin,single,secondary,no,1020,yes,no,,19,5,882,1,-1,0,,yes,2014-05-19 00:00:00
47,blue-collar,married,secondary,no,863,yes,no,,19,5,943,2,-1,0,,yes,2014-05-19 00:00:00
31,admin,married,secondary,no,97,yes,no,,19,5,607,1,-1,0,,yes,2014-05-19 00:00:00
31,blue-collar,married,secondary,no,754,yes,no,,19,5,1022,4,-1,0,,yes,2014-05-19 00:00:00
43,services,divorced,secondary,no,1040,yes,no,,19,5,552,3,-1,0,,yes,2014-05-19 00:00:00
37,management,divorced,tertiary,no,122,yes,no,,19,5,1622,2,-1,0,,yes,2014-05-19 00:00:00
30,technician,single,tertiary,no,880,yes,yes,,19,5,967,6,-1,0,,yes,2014-05-19 00:00:00
41,technician,married,secondary,no,501,yes,no,,19,5,579,5,-1,0,,yes,2014-05-19 00:00:00
36,blue-collar,married,secondary,no,4438,yes,no,,20,5,446,1,-1,0,,yes,2014-05-20 00:00:00
35,blue-collar,divorced,secondary,no,0,yes,no,,20,5,1205,1,-1,0,,yes,2014-05-20 00:00:00
29,services,single,secondary,no,271,yes,no,,20,5,1882,2,-1,0,,yes,2014-05-20 00:00:00
35,blue-collar,married,primary,no,102,yes,no,,20,5,1334,1,-1,0,,yes,2014-05-20 00:00:00
31,blue-collar,married,secondary,no,2,yes,no,,20,5,182,2,-1,0,,yes,2014-05-20 00:00:00
35,services,married,secondary,no,4170,yes,no,,20,5,1777,1,-1,0,,yes,2014-05-20 00:00:00
34,technician,single,secondary,no,85,yes,no,,20,5,1182,4,-1,0,,yes,2014-05-20 00:00:00
31,admin,single,secondary,no,431,yes,yes,,20,5,1045,1,-1,0,,yes,2014-05-20 00:00:00
44,technician,divorced,secondary,no,982,yes,no,,20,5,650,3,-1,0,,yes,2014-05-20 00:00:00
36,blue-collar,married,primary,no,408,yes,yes,,20,5,1063,2,-1,0,,yes,2014-05-20 00:00:00
